dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
ECG200,0.6729999999999999,0.5720000000000001,0.5720000000000001,0.983,0.983,0.968,0.97,0.9678738938053097,0.9245405604719764,0.5721999999999999,0.5721999999999999,0.5721999999999999
ECGFiveDays,0.527,0.524,0.524,0.524,0.524,0.524,0.524,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246
EOGHorizontalSignal,0.382,0.797,0.256,0.256,0.256,0.256,0.922,0.2562079700007808,0.2562079700007808,0.2562079700007808,0.2562079700007808,0.2562079700007808
EOGVerticalSignal,0.439,0.664,0.17,0.17,0.17,0.17,0.662,0.16966381330799377,0.16966381330799377,0.16966381330799377,0.16966381330799377,0.16966381330799377
FaceAll,0.177,0.266,0.143,0.76,0.797,0.3939999999999999,0.994,0.347546346782988,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
FaceFour,0.527,0.531,0.281,0.5720000000000001,0.586,0.5760000000000001,0.281,0.5760768817745562,0.5760768817745562,0.5734643442760098,0.576403729627205,0.28125
FacesUCR,0.221,0.183,0.152,0.7170000000000001,0.7759999999999999,0.64,0.929,0.3896344285053216,0.8055112798964839,0.15172555024663872,0.15172555024663872,0.15172555024663872
FiftyWords,0.437,0.5329999999999999,0.278,0.975,0.951,0.584,0.991,0.5835018437348738,0.278046978756087,0.278046978756087,0.278046978756087,0.278046978756087
Fish,0.222,0.263,0.144,0.144,0.144,0.144,0.963,0.14429335817061642,0.14429335817061642,0.14429335817061642,0.14429335817061642,0.14429335817061642
FreezerRegularTrain,0.299,0.764,0.26,0.26,0.26,0.26,0.916,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864,0.2600070896842864
GunPoint,0.474,0.402,0.501,0.501,0.501,0.501,0.993,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657
Ham,0.251,0.619,0.251,0.552,0.251,0.251,0.918,1.0,1.0,1.0,1.0,1.0
Haptics,0.4379999999999999,0.54,0.356,0.356,0.356,0.356,0.356,0.5008,0.5008,0.5008,0.5008,0.5008
Herring,0.7020000000000001,0.307,1.0,1.0,1.0,1.0,1.0,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714,0.3564206684760714
InlineSkate,0.312,0.376,0.358,0.358,0.358,0.358,0.358,0.35755762585566386,0.35755762585566386,0.35755762585566386,0.35755762585566386,0.35755762585566386
InsectWingbeatSound,0.325,0.25,0.25,0.992,0.985,0.792,0.98,0.66640625,0.25,0.25,0.25,0.25
ItalyPowerDemand,0.432,0.5,0.5,0.5,0.5,0.875,0.986,0.875,0.875,0.8743781094527363,0.875,0.9913316708074147
LargeKitchenAppliances,0.493,0.473,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.652,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Lightning2,0.8170000000000001,0.556,0.556,0.556,0.556,0.556,0.556,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.5555555555555555
Lightning7,0.358,0.446,0.215,0.377,0.3879999999999999,0.215,0.626,0.214767320880907,0.214767320880907,0.214767320880907,0.214767320880907,0.214767320880907
Mallat,0.503,0.626,0.267,0.267,0.267,0.564,0.996,0.5636806219168883,0.573518278940344,0.2674297606659729,0.2674297606659729,0.2674297606659729
Meat,0.313,0.401,0.3329999999999999,0.3329999999999999,0.3329999999999999,0.8029999999999999,0.58,0.14821428571428572,0.4193452380952381,0.6639904804308187,0.3333333333333333,0.3333333333333333
MedicalImages,0.45,0.377,0.58,0.4639999999999999,0.923,0.58,0.993,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.5800646856654396
MelbournePedestrian,0.246,0.149,0.149,0.7929999999999999,0.5870000000000001,0.377,0.987,0.32673503090776945,0.14878892733564014,0.14878892733564014,0.14878892733564014,0.14878892733564014
MiddlePhalanxOutlineAgeGroup,0.361,0.387,0.25,0.25,0.25,0.25,0.818,0.25015211965422046,0.25015211965422046,0.25015211965422046,0.25015211965422046,0.25015211965422046
MiddlePhalanxOutlineCorrect,0.37,0.3339999999999999,0.3339999999999999,0.618,0.618,0.618,0.818,0.584898101259287,0.6606089270332788,0.6592110260444236,0.33413700994232565,0.33413700994232565
MiddlePhalanxTW,0.754,0.575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.562,0.336,0.5,0.42,0.423,0.5,0.985,0.5,0.5,0.5,0.5,0.5
NonInvasiveFetalECGThorax1,0.25,0.305,0.1689999999999999,0.6579999999999999,0.6579999999999999,0.3329999999999999,0.985,0.4520254466544857,0.5749546080933174,0.33517479957783214,0.1689575797179242,0.1689575797179242
NonInvasiveFetalECGThorax2,0.177,0.257,0.145,0.705,0.419,0.412,0.99,0.41913427633526135,0.3667880517463122,0.39779125184302805,0.4083304669414905,0.14526469810685327
OSULeaf,0.391,0.365,0.365,0.745,0.745,0.695,0.995,0.7218727961342563,0.6890766618780201,0.7571120107962213,0.7571172347742806,0.7573154387358573
OliveOil,0.614,0.682,0.382,0.382,0.382,0.755,0.754,0.6950479697193716,0.3652408468934911,0.3652408468934911,0.3652408468934911,0.3652408468934911
Plane,0.357,0.145,0.15,0.441,0.15,0.96,0.992,0.346031746031746,0.4087301587301587,0.14975056689342403,0.14975056689342403,0.14975056689342403
ProximalPhalanxOutlineAgeGroup,0.315,0.376,0.376,0.675,0.675,0.6709999999999999,0.884,0.6297842465753424,0.5465569175815089,0.5923897589120133,0.37641250000000004,0.37641250000000004
ProximalPhalanxOutlineCorrect,0.408,0.292,0.292,0.55,0.55,0.5379999999999999,0.7390000000000001,0.4869117364203521,0.49673060455859674,0.5307604029365259,0.2924595555555556,0.2924595555555556
ProximalPhalanxTW,0.467,0.395,0.395,0.395,0.395,0.497,0.982,0.49691603733038625,0.39475,0.39475,0.39475,0.39475
ShapeletSim,0.37,1.0,1.0,0.7859999999999999,0.7859999999999999,1.0,1.0,0.7525,0.2,0.2,0.2,0.2
ShapesAll,0.29,0.45,0.2,0.2,0.2,0.765,0.984,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.7340000000000001,0.3879999999999999,0.58,0.8320000000000001,0.8320000000000001,0.58,0.58,0.58,0.58,0.58,0.58,0.58
SonyAIBORobotSurface2,0.69,0.623,0.517,1.0,1.0,0.517,0.979,0.5171467764060357,0.5171467764060357,0.5171467764060357,0.5171467764060357,0.5171467764060357
Strawberry,0.3389999999999999,0.27,0.332,0.332,0.332,0.332,0.494,0.33232280017120003,0.33232280017120003,0.33232280017120003,0.33232280017120003,0.33232280017120003
SwedishLeaf,0.356,0.252,0.252,0.723,0.73,0.4629999999999999,0.997,0.5352617804971186,0.25183823529411764,0.25183823529411764,0.25183823529411764,0.25183823529411764
Symbols,0.462,0.575,0.297,0.297,0.297,0.297,0.833,0.29656328564610646,0.29656328564610646,0.29656328564610646,0.29656328564610646,0.29656328564610646
SyntheticControl,0.4589999999999999,0.1989999999999999,0.2,0.797,0.797,0.733,0.937,0.3688,0.5023808445007751,0.2,0.2,0.2
ToeSegmentation1,0.4579999999999999,0.813,0.5,0.947,0.947,0.5,1.0,0.5,0.5,0.5,0.5,0.5
ToeSegmentation2,0.472,0.593,0.5,0.5,0.5,0.5,0.997,0.5,0.5,0.5,0.5,0.5
Trace,0.318,0.4,0.344,0.344,0.344,0.75,0.652,0.750372222714225,0.7326482745464525,0.6831004963317454,0.6333816345724436,0.7339098986596061
TwoLeadECG,0.718,0.501,0.501,0.501,0.501,0.501,0.501,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255
UMD,0.568,0.218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.2189999999999999,0.372,0.201,0.884,0.887,0.564,0.992,0.5582246894271727,0.20105830672349723,0.20105830672349723,0.20105830672349723,0.20105830672349723
UWaveGestureLibraryX,0.41,0.201,0.201,0.502,0.497,0.5489999999999999,0.987,0.5491609446349379,0.20106826187325627,0.20106826187325627,0.20106826187325627,0.20106826187325627
UWaveGestureLibraryY,0.312,0.201,0.201,0.599,0.599,0.201,0.963,0.20106826187325627,0.20106826187325627,0.20106826187325627,0.20106826187325627,0.20106826187325627
UWaveGestureLibraryZ,0.423,0.201,0.201,0.76,0.76,0.602,0.81,0.6016321467081485,0.20106826187325627,0.20106826187325627,0.20106826187325627,0.20106826187325627
WordSynonyms,0.547,0.775,0.727,0.988,0.988,0.846,0.845,0.8458244955678147,0.7269237843279972,0.7269237843279972,0.7269237843279972,0.7269237843279972
Yoga,0.439,0.589,0.504,0.504,0.504,0.504,0.995,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182
